"lon","lat","medv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
-71.0804,42.154,20.6,2.37857,0,18.1,"0",0.583,5.871,41.9,3.724,24,666,20.2,370.73,13.34
-71.2807,42.1727,42.8,0.36894,22,5.86,"0",0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54
-71.1435,42.2177,21.7,0.17446,0,10.59,"1",0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27
-71.0586,42.1999,8.4,11.8123,0,18.1,"0",0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
-71.076,42.2895,20.8,0.08707,0,12.83,"0",0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27
-71.0685,42.308,28,0.04113,25,4.86,"0",0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29
-71.003,42.3235,25.3,0.1415,0,6.91,"0",0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81
-71.1007,42.21,22.7,5.20177,0,18.1,"1",0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48
-71.0397,42.2182,50,8.26725,0,18.1,"1",0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88
-71.0115,42.0865,17.1,0.05023,35,6.06,"0",0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43
-71.048,42.2222,13.4,3.32105,0,19.58,"1",0.871,5.403,100,1.3216,5,403,14.7,396.9,26.82
-70.964,42.2765,14.5,1.35472,0,8.14,"0",0.538,6.072,100,4.175,4,307,21,376.73,13.04
-71.055,42.2505,19.8,0.12802,0,8.56,"0",0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27
-71.0835,42.2,48.8,0.52014,20,3.97,"0",0.647,8.398,91.5,2.2885,5,264,13,386.86,5.91
-71.02,42.2205,9.7,11.5779,0,18.1,"0",0.7,5.036,97,1.77,24,666,20.2,396.9,25.68
-71.059,42.192,11.7,8.79212,0,18.1,"0",0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16
-71.0415,42.115,22.6,0.06724,0,3.24,"0",0.46,6.333,17.2,5.2146,4,430,16.9,375.21,7.34
-70.9775,42.279,15.2,1.23247,0,8.14,"0",0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72
-71.0462,42.2075,15,51.1358,0,18.1,"0",0.597,5.757,100,1.413,24,666,20.2,2.6,10.11
-71.0378,42.1892,15.4,9.96654,0,18.1,"0",0.74,6.485,100,1.9784,24,666,20.2,386.73,18.85
-71.0138,42.1555,22.8,0.49298,0,9.9,"0",0.544,6.635,82.5,3.3175,4,304,18.4,396.9,4.54
-71.076,42.2405,15.6,0.97617,0,21.89,"0",0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31
-71.0515,42.17,13.5,8.20058,0,18.1,"0",0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94
-71.043,42.169,20,6.80117,0,18.1,"0",0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7
-71.1208,42.2183,30.1,0.6147,0,6.2,"0",0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6
-71.082,42.2295,25,2.924,0,19.58,"0",0.605,6.101,93,2.2834,5,403,14.7,240.16,9.81
-71.1166,42.223,23.3,0.0456,0,13.89,"1",0.55,5.888,56,3.1121,5,276,16.4,392.8,13.51
-71.155,42.098,24.8,0.04297,52.5,5.32,"0",0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51
-71.108,42.34,17.4,0.13554,12.5,6.07,"0",0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09
-71.1095,42.3008,21.7,0.15876,0,10.81,"0",0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88
-71.1,42.2875,21.4,0.09512,0,12.83,"0",0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94
-70.9215,42.332,22.2,0.11027,25,5.13,"0",0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73
-71.0518,42.2312,14,0.2909,0,21.89,"0",0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16
-71.143,42.2217,20,0.43571,0,10.59,"1",0.489,5.344,100,3.875,4,277,18.6,396.9,23.09
-70.81,42.059,18.6,0.07244,60,1.69,"0",0.411,5.884,18.5,10.7103,4,411,18.3,392.33,7.79
-70.9501,42.0825,17.2,0.06162,0,4.39,"0",0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67
-71.0297,42.2447,20.1,0.11132,0,27.74,"0",0.609,5.983,83.5,2.1099,4,711,20.1,396.9,13.35
-71.109,42.11,23.9,0.08265,0,13.92,"0",0.437,6.127,18.4,5.5027,4,289,16,396.9,8.58
-71.1405,42.1632,33.2,0.10469,40,6.41,"1",0.447,7.267,49,4.7872,4,254,17.6,389.25,6.05
-71.03,42.324,34.9,0.03359,75,2.95,"0",0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98
-71.0547,42.189,14.5,8.49213,0,18.1,"0",0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64
-71.016,42.2382,13.6,0.10574,0,27.74,"0",0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07
-70.9795,42.158,16.2,0.25356,0,9.9,"0",0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5
-71.125,42.2134,27.5,0.62356,0,6.2,"1",0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93
-70.9765,42.294,19.9,0.62739,0,8.14,"0",0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47
-71.0355,42.2545,18.3,0.17134,0,10.01,"0",0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76
-71.062,42.296,25,0.02875,28,15.04,"0",0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21
-71.079,42.202,43.1,0.53412,20,3.97,"0",0.647,7.52,89.4,2.1398,5,264,13,388.37,7.26
-71.132,42.2142,29,0.44791,0,6.2,"1",0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05
-71.05,42.3,26.6,0.05735,0,4.49,"0",0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53
-70.8875,42.1465,32.7,0.01301,35,1.52,"0",0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49
-71.02,42.2875,24.7,0.17505,0,5.96,"0",0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13
-71.067,42.2245,24.3,1.34284,0,19.58,"0",0.605,6.066,100,1.7573,5,403,14.7,353.89,6.43
-71.2035,42.187,23.3,0.09252,30,4.93,"0",0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37
-71.1503,42.222,24.4,0.13587,0,10.59,"1",0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66
-71.0125,42.2462,21.8,0.17331,0,9.69,"0",0.585,5.707,54,2.3817,6,391,19.2,396.9,12.01
-70.9985,42.243,17.5,0.17783,0,9.69,"0",0.585,5.569,73.5,2.3999,6,391,19.2,395.77,15.1
-70.9795,42.276,13.1,1.15172,0,8.14,"0",0.538,5.701,95,3.7872,4,307,21,358.77,18.35
-70.928,42.293,33.4,0.03237,0,2.18,"0",0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94
-70.951,42.306,21.7,0.09378,12.5,7.87,"0",0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71
-71.0428,42.1845,13,7.52601,0,18.1,"0",0.713,6.417,98.3,2.185,24,666,20.2,304.21,19.31
-71.023,42.2287,11.3,9.18702,0,18.1,"0",0.7,5.536,100,1.5804,24,666,20.2,396.9,23.6
-71.22,42.1782,22.2,0.1029,30,4.93,"0",0.428,6.358,52.9,7.0355,6,300,16.6,372.75,11.22
-71.0437,42.205,17.2,7.40389,0,18.1,"0",0.597,5.617,97.9,1.4547,24,666,20.2,314.64,26.4
-71.028,42.1565,28.2,0.04932,33,2.18,"0",0.472,6.849,70.3,3.1827,7,222,18.4,396.9,7.53
-71.1495,42.173,33.1,0.06127,40,6.41,"1",0.447,6.826,27.6,4.8628,4,254,17.6,393.45,4.16
-71.042,42.2796,23.6,0.0566,0,3.41,"0",0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5
-70.9693,42.2816,15.6,0.75026,0,8.14,"0",0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3
-71.1385,42.1235,28.5,0.03502,80,4.95,"0",0.411,6.861,27.9,5.1167,4,245,19.2,396.9,3.33
-71.0508,42.207,23.1,13.5222,0,18.1,"0",0.631,3.863,100,1.5106,24,666,20.2,131.42,13.33
-71.2135,42.1,22,0.01096,55,2.25,"0",0.389,6.453,31.9,7.3073,1,300,15.3,394.72,8.23
-71.022,42.1996,13.1,8.71675,0,18.1,"0",0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12
-71.0558,42.1913,14.6,10.233,0,18.1,"0",0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03
-71.0243,42.2483,22,0.06899,0,25.65,"0",0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37
-71.06,42.254,19.4,0.26363,0,8.56,"0",0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55
-71.069,42.2285,41.3,1.22358,0,19.58,"0",0.605,6.943,97.4,1.8773,5,403,14.7,363.43,4.59
-70.9075,42.339,25,0.1265,25,5.13,"0",0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5
-71.025,42.2024,8.5,7.67202,0,18.1,"0",0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92
-71.222,42.289,34.6,0.03768,80,1.52,"0",0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62
-71.069,42.3525,19.4,0.04379,80,3.37,"0",0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24
-71.062,42.2236,21.5,1.6566,0,19.58,"0",0.871,6.122,97.3,1.618,5,403,14.7,372.8,14.1
-71.038,42.2265,13.3,9.82349,0,18.1,"0",0.671,6.794,98.8,1.358,24,666,20.2,396.9,21.24
-70.965,42.101,20.7,0.03738,0,5.19,"0",0.515,6.31,38.5,6.4584,5,224,20.2,389.4,6.75
-71.043,42.3075,23.9,0.05059,0,4.49,"0",0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62
-71.0918,42.2265,22.7,2.24236,0,19.58,"0",0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64
-71.075,42.2362,18.1,0.55778,0,21.89,"0",0.624,6.335,98.2,2.1107,4,437,21.2,394.67,16.96
-70.951,42.334,19.7,0.08873,21,5.64,"0",0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45
-71.123,42.292,23.4,0.19539,0,10.81,"0",0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54
-71.106,42.2512,24.6,0.05425,0,4.05,"0",0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29
-71.0865,42.21,19.9,3.83684,0,18.1,"0",0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19
-71.138,42.2141,24,0.33045,0,6.2,"0",0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88
-71.089,42.2715,38.7,0.12083,0,2.89,"0",0.445,8.069,76,3.4952,2,276,18,396.9,4.21
-71.035,42.1745,17.7,3.69311,0,18.1,"0",0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65
-71.1375,42.2355,28.1,0.14052,0,10.59,"0",0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38
-71.0333,42.2395,15.7,0.38735,0,25.65,"0",0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26
-71.138,42.2216,19.3,0.37578,0,10.59,"1",0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98
-71.0855,42.245,23.6,0.09178,0,4.05,"0",0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04
-71.0982,42.1445,24.4,0.1146,20,6.96,"0",0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73
-71.0875,42.095,22,0.03537,34,6.09,"0",0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5
-71.0201,42.16,20.3,0.3494,0,9.9,"0",0.544,5.972,76.7,3.1025,4,304,18.4,396.24,9.97
-71.1285,42.193,31.7,0.46296,0,6.2,"0",0.504,7.412,76.9,3.6715,8,307,17.4,376.14,5.25
-71.0595,42.2075,27.5,4.55587,0,18.1,"0",0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12
-71.0455,42.1953,7.2,18.0846,0,18.1,"0",0.679,6.434,100,1.8347,24,666,20.2,27.25,29.05
-70.855,42.13,26.6,0.02899,40,1.25,"0",0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89
-71.039,42.2198,11.9,20.7162,0,18.1,"0",0.659,4.138,100,1.1781,24,666,20.2,370.22,23.34
-71.148,42.188,35.1,0.21038,20,3.33,"0",0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85
-71.049,42.253,18.8,0.12329,0,10.01,"0",0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21
-71.0622,42.2431,19.5,0.1712,0,8.56,"0",0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66
-71.0326,42.2011,5.6,25.0461,0,18.1,"0",0.693,5.987,100,1.5888,24,666,20.2,396.9,26.77
-71.0645,42.215,19.4,2.14918,0,19.58,"0",0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79
-71.081,42.245,26.5,0.11432,0,8.56,"0",0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67
-71.2895,42.1575,21.9,0.04819,80,3.64,"0",0.392,6.108,32,9.2203,1,315,16.4,392.89,6.57
-71.065,42.2223,23.3,1.42502,0,19.58,"0",0.871,6.51,100,1.7659,5,403,14.7,364.31,7.39
-71.0662,42.2162,17,1.41385,0,19.58,"1",0.871,6.129,96,1.7494,5,403,14.7,321.02,15.12
-70.922,42.298,36.2,0.06905,0,2.18,"0",0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33
-71,42.1066,24.6,0.19186,0,7.38,"0",0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08
-71.094,42.1355,25.2,0.16211,20,6.96,"0",0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59
-71.069,42.1725,20.1,13.0751,0,18.1,"0",0.58,5.713,56.7,2.8237,24,666,20.2,396.9,14.76
-71.148,42.0775,23.2,0.03871,52.5,5.32,"0",0.405,6.209,31.3,7.3172,6,293,16.6,396.9,7.14
-71.037,42.194,12.8,9.39063,0,18.1,"0",0.74,5.627,93.9,1.8172,24,666,20.2,396.9,22.88
-71.0175,42.3715,18.9,0.0136,75,4,"0",0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8
-71.025,42.098,19.8,0.04544,0,3.24,"0",0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09
-71.1491,42.203,31.5,0.51183,0,6.2,"0",0.507,7.358,71.6,4.148,8,307,17.4,390.07,4.73
-71.2435,42.1982,24.8,0.21409,22,5.86,"0",0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59
-70.9633,42.1374,20.6,0.03306,0,5.19,"0",0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51
-71.0558,42.1937,10.2,12.2472,0,18.1,"0",0.584,5.837,59.7,1.9976,24,666,20.2,24.65,15.69
-71.04,42.2248,13.1,23.6482,0,18.1,"0",0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69
-71.0528,42.192,12,15.0234,0,18.1,"0",0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91
-71.1012,42.1975,50,0.52693,0,6.2,"0",0.504,8.725,83,2.8944,8,307,17.4,382,4.63
-70.956,42.3125,16.6,0.22927,0,6.91,"0",0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8
-71.09,42.2835,20,0.10153,0,12.83,"0",0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97
-71.0675,42.326,24.8,0.03659,25,4.86,"0",0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72
-71.1065,42.23,32.5,0.10008,0,2.46,"0",0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68
-71.0475,42.169,14.9,7.75223,0,18.1,"0",0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23
-71.189,42.2525,50,0.01381,80,0.46,"0",0.422,7.875,32,5.6484,4,255,14.4,394.23,2.97
-71.223,42.145,44,0.01538,90,3.75,"0",0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11
-71.0866,42.2345,23.8,1.80028,0,19.58,"0",0.605,5.877,79.2,2.4259,5,403,14.7,227.61,12.14
-71.0427,42.209,27.9,11.9511,0,18.1,"0",0.659,5.608,100,1.2852,24,666,20.2,332.09,12.13
-71.0505,42.188,14.1,10.0623,0,18.1,"0",0.584,6.833,94.3,2.0882,24,666,20.2,81.33,19.69
-71.0195,42.2255,10.2,14.3337,0,18.1,"0",0.7,4.88,100,1.5895,24,666,20.2,372.92,30.62
-70.83,42.0775,24.1,0.0795,60,1.69,"0",0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49
-70.988,42.2776,18.2,0.7258,0,8.14,"0",0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28
-70.986,42.2312,22.4,0.06263,0,11.93,"0",0.573,6.593,69.1,2.4786,1,273,21,391.99,9.67
-71.0815,42.225,50,1.51902,0,19.58,"1",0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32
-70.963,42.3382,20.5,0.04337,21,5.64,"0",0.439,6.115,63,6.8147,4,243,16.8,393.97,9.43
-70.982,42.281,19.6,0.85204,0,8.14,"0",0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83
-71.1125,42.255,23.2,0.07022,0,4.05,"0",0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11
-71.004,42.335,26.6,0.12744,0,6.91,"0",0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84
-71,42.153,23.8,0.3692,0,9.9,"0",0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28
-71.0575,42.317,22.9,0.03551,25,4.86,"0",0.426,6.167,46.7,5.4007,4,281,19,390.64,7.51
-70.935,42.316,15,0.22489,12.5,7.87,"0",0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45
-71.0345,42.2001,8.5,41.5292,0,18.1,"0",0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38
-71.04,42.2275,10.2,17.8667,0,18.1,"0",0.671,6.223,100,1.3861,24,666,20.2,393.74,21.78
-71.02,42.1993,12.7,13.3598,0,18.1,"0",0.693,5.887,94.7,1.7821,24,666,20.2,396.9,16.35
-71.1525,42.3,31.1,0.02187,60,2.93,"0",0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03
-71.0422,42.2144,50,6.53876,0,18.1,"1",0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96
-71.075,42.1455,21.2,3.67367,0,18.1,"0",0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58
-71.24,42.2725,30.3,0.04666,80,1.52,"0",0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61
-71.255,42.1767,24.5,0.16439,22,5.86,"0",0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52
-71.244,42.2425,34.9,0.0315,95,1.47,"0",0.403,6.975,15.3,7.6534,3,402,17,396.9,4.56
-71.034,42.226,13.9,15.288,0,18.1,"0",0.671,6.649,93.3,1.3449,24,666,20.2,363.02,23.24
-71.2475,42.1825,26.2,0.19073,22,5.86,"0",0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56
-71.133,42.1408,37.3,0.07886,80,4.95,"0",0.411,7.148,27.7,5.1167,4,245,19.2,396.9,3.56
-71.0495,42.1815,14.3,5.58107,0,18.1,"0",0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22
-70.972,42.2765,13.2,1.38799,0,8.14,"0",0.538,5.95,82,3.99,4,307,21,232.6,27.71
-71.013,42.313,30.8,0.02763,75,2.95,"0",0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32
-70.929,42.316,18.9,0.17004,12.5,7.87,"0",0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1
-71.01,42.15,23.1,0.40202,0,9.9,"0",0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36
-71.0308,42.245,18.8,0.09849,0,25.65,"0",0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58
-71.071,42.203,36.5,0.55007,20,3.97,"0",0.647,7.206,91.6,1.9301,5,264,13,387.89,8.1
-71.045,42.164,21.4,7.83932,0,18.1,"0",0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22
-71.1175,42.235,29.6,0.06047,0,2.46,"0",0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15
-70.93,42.337,18.7,0.14932,25,5.13,"0",0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15
-71.09,42.1665,25,5.73116,0,18.1,"0",0.532,7.061,77,3.4106,24,666,20.2,395.28,7.01
-71.0622,42.2205,19.6,1.49632,0,19.58,"0",0.871,5.404,100,1.5916,5,403,14.7,341.6,13.28
-70.978,42.3425,23.4,0.04981,21,5.64,"0",0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43
-71.1008,42.174,23,5.82401,0,18.1,"0",0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74
-71.0485,42.192,9.5,9.33889,0,18.1,"0",0.679,6.38,95.6,1.9682,24,666,20.2,60.72,24.08
-71.1325,42.094,22.3,0.0459,52.5,5.32,"0",0.405,6.315,45.6,7.3172,6,293,16.6,396.9,7.6
-71.112,42.23,26.4,0.08308,0,2.46,"0",0.488,5.604,89.8,2.9879,3,193,17.8,391,13.98
-71.2685,42.1935,29.6,0.08221,22,5.86,"0",0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
-71.0396,42.2512,18.5,0.14231,0,10.01,"0",0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45
-71.0075,42.178,22.1,0.79041,0,9.9,"0",0.544,6.122,52.8,2.6403,4,304,18.4,396.9,5.98
-71.0625,42.102,26.4,0.09266,34,6.09,"0",0.433,6.495,18.4,5.4917,7,329,16.1,383.61,8.67
-71.199,42.2058,50,0.02009,95,2.68,"0",0.4161,8.034,31.9,5.118,4,224,14.7,390.55,2.88
-71.0725,42.1965,30.7,0.7857,20,3.97,"0",0.647,7.014,84.6,2.1329,5,264,13,384.07,14.79
-71.0455,42.1768,14.9,9.51363,0,18.1,"0",0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71
-70.9795,42.0995,22.2,0.05083,0,5.19,"0",0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68
-71.185,42.1848,35.4,0.03705,20,3.33,"0",0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59
-71.127,42.235,23.7,0.28955,0,10.59,"0",0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55
-71.004,42.1425,19.8,0.24522,0,9.9,"0",0.544,5.782,71.7,4.0317,4,304,18.4,396.9,15.94
-70.93,42.374,24.7,0.02055,85,0.74,"0",0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77
-71.069,42.248,20.1,0.1396,0,8.56,"0",0.52,6.167,90,2.421,5,384,20.9,392.69,12.33
-71.1395,42.1813,29.1,0.07978,40,6.41,"0",0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19
-71.098,42.154,20.7,0.09065,20,6.96,"1",0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65
-71.079,42.245,18.4,0.32982,0,21.89,"0",0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03
-71.058,42.235,18,0.32543,0,21.89,"0",0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39
-71.105,42.2235,28.7,0.07013,0,13.89,"0",0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69
-71.0662,42.2425,19.5,0.13262,0,8.56,"0",0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47
-71.045,42.159,33.4,0.07503,33,2.18,"0",0.472,7.42,71.9,3.0992,7,222,18.4,396.9,6.47
-71.081,42.208,20.8,3.67822,0,18.1,"0",0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19
-70.9597,42.287,16.6,0.67191,0,8.14,"0",0.538,5.813,90.3,4.682,4,307,21,376.88,14.81
-71.067,42.1945,21.4,14.3337,0,18.1,"0",0.614,6.229,88,1.9512,24,666,20.2,383.32,13.11
