vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Widowed,A,East of England,Conservative,I voted to Remain,Level-1
Very likely,73,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Don't know,Living as married,C1,London,Conservative,I voted to Leave,Level-1
Don’t know,35,20,"Other technical, professional or higher qualification",Female,"£50,000 to £59,999 per year","£35,000 to £39,999 per year",Married,B,East of England,Labour,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Divorced,D,North East,NA,I did not vote,Level-1
Very likely,50,20,"Other technical, professional or higher qualification",Female,Don't know,Prefer not to answer,Married,C2,North West,Labour,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,34,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,C1,South East,Liberal Democrat,I voted to Remain,Level-3
Very likely,68,16,No formal qualifications,Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Divorced,E,East Midlands,Conservative,I voted to Leave,Level-0
Very unlikely,41,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£15,000 to £19,999 per year","£10,000 to £14,999 per year",Separated (after being married),D,North East,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,20,"Other technical, professional or higher qualification",Male,"£45,000 to £49,999 per year","£45,000 to £49,999 per year",Married,C1,Scotland,Conservative,I voted to Remain,Other
Very likely,53,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£40,000 to £44,999 per year","£25,000 to £29,999 per year",Married,D,Scotland,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,19,Clerical and commercial,Female,"£10,000 to £14,999 per year","£5,000 to £9,999 per year",Married,C2,East of England,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Never married,E,East Midlands,Brexit Party,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,64,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Married,A,West Midlands,Don't know,I voted to Remain,Level-3
Very likely,74,15 or under,"Other technical, professional or higher qualification",Male,Prefer not to answer,Prefer not to answer,Married,C1,Yorkshire and the Humber,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,85,16,No formal qualifications,Female,Don't know,Don't know,Widowed,A,South East,Liberal Democrat,I voted to Remain,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,66,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£30,000 to £34,999 per year","£35,000 to £39,999 per year",Married,D,South West,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,83,17-18,Prefer not to say,Male,"£30,000 to £34,999 per year","£5,000 to £9,999 per year",Married,B,South East,Labour,I voted to Leave,Other
Very likely,75,15 or under,No formal qualifications,Female,Prefer not to answer,Prefer not to answer,Married,E,West Midlands,Don't know,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Divorced,E,East Midlands,Conservative,I voted to Remain,Level-4
Very likely,46,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£30,000 to £34,999 per year","£35,000 to £39,999 per year",Married,C2,West Midlands,Conservative,I voted to Leave,Level-3
Very likely,71,15 or under,Recognised trade apprenticeship completed,Male,"£15,000 to £19,999 per year","£10,000 to £14,999 per year",Never married,C2,Yorkshire and the Humber,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,46,15 or under,"Other technical, professional or higher qualification",Female,"£25,000 to £29,999 per year","£15,000 to £19,999 per year",Living as married,D,South East,Labour,I voted to Remain,Other
Very likely,59,17-18,GCE A level or Higher Certificate,Male,"under £5,000 per year","under £5,000 per year",Divorced,E,South East,Conservative,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,17-18,GCE A level or Higher Certificate,Female,"£40,000 to £44,999 per year","£20,000 to £24,999 per year",Living as married,B,South East,Conservative,I voted to Leave,Level-2
Very likely,52,16,CSE grades 2-5,Female,"£45,000 to £49,999 per year","£15,000 to £19,999 per year",Married,C2,Wales,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,67,16,ONC,Female,"£50,000 to £59,999 per year","£5,000 to £9,999 per year",Married,A,East of England,Conservative,I voted to Remain,NA
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,City & Guilds certificate,Male,"£25,000 to £29,999 per year","£15,000 to £19,999 per year",Married,C2,East Midlands,Conservative,I voted to Leave,Professional
Very likely,68,16,GCE A level or Higher Certificate,Male,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,D,East of England,Conservative,I voted to Leave,Level-2
Very likely,40,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£60,000 to £69,999 per year","£50,000 to £59,999 per year",Married,B,East of England,Labour,I voted to Remain,Level-4
Very likely,43,19,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,C1,North East,Labour,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,16,Recognised trade apprenticeship completed,Male,Prefer not to answer,Prefer not to answer,Living as married,C1,Scotland,Scottish National Party (SNP),I voted to Leave,Professional
Fairly likely,63,15 or under,No formal qualifications,Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Divorced,C2,Yorkshire and the Humber,Labour,I did not vote,Level-0
Very likely,55,17-18,GCE A level or Higher Certificate,Male,"£45,000 to £49,999 per year","£35,000 to £39,999 per year",Married,C2,Scotland,Labour,I voted to Leave,Level-2
Very likely,49,17-18,GCE A level or Higher Certificate,Male,"£70,000 to £99,999 per year","£35,000 to £39,999 per year",Married,B,South East,Conservative,I voted to Leave,Level-2
Very likely,70,15 or under,No formal qualifications,Male,"£30,000 to £34,999 per year","£25,000 to £29,999 per year",Married,D,North West,Labour,I voted to Remain,Level-0
Very likely,71,20,"Other technical, professional or higher qualification",Male,"£20,000 to £24,999 per year","£15,000 to £19,999 per year",Married,C1,South East,NA,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,44,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Don't know,Don't know,Married,E,Wales,Labour,I voted to Remain,Level-3
Very likely,78,16,"Other technical, professional or higher qualification",Male,"£25,000 to £29,999 per year","£20,000 to £24,999 per year",Married,A,Yorkshire and the Humber,Conservative,I voted to Leave,Other
Don’t know,40,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Married,B,South East,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,C1,London,Conservative,I voted to Leave,Level-3
Very likely,42,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,C2,North West,Liberal Democrat,I voted to Remain,Level-3
Fairly likely,47,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£70,000 to £99,999 per year","£40,000 to £44,999 per year",Living as married,B,South East,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Separated (after being married),C1,South East,NA,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,15 or under,No formal qualifications,Female,"£5,000 to £9,999 per year","£15,000 to £19,999 per year",Divorced,D,South West,Liberal Democrat,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,15 or under,No formal qualifications,Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Married,A,West Midlands,Conservative,I voted to Leave,Level-0
Very likely,72,19,GCE A level or Higher Certificate,Female,Don't know,Don't know,Married,B,South East,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,51,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Never married,C1,North East,Labour,I voted to Remain,Level-4
Don’t know,43,20,"Other technical, professional or higher qualification",Male,Prefer not to answer,Prefer not to answer,Married,C1,London,NA,I did not vote,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,50,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£60,000 to £69,999 per year","£40,000 to £44,999 per year",Married,A,West Midlands,Labour,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£30,000 to £34,999 per year","£15,000 to £19,999 per year",Married,D,North West,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,E,Yorkshire and the Humber,Conservative,I voted to Leave,Level-1
Very unlikely,46,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Married,D,East of England,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Married,D,Wales,NA,I voted to Leave,Level-1
Very likely,60,19,GCE A level or Higher Certificate,Male,"£100,000 to £149,999 per year","£70,000 to £99,999 per year",Married,C1,East of England,Liberal Democrat,I voted to Remain,Level-2
Very likely,45,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,Prefer not to answer,Prefer not to answer,Married,C1,London,Liberal Democrat,I did not vote,Level-4
Very likely,46,19,CSE grades 2-5,Male,"£50,000 to £59,999 per year","£40,000 to £44,999 per year",Living as married,C2,Yorkshire and the Humber,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,17-18,Clerical and commercial,Female,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Married,C2,East Midlands,Conservative,I voted to Remain,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,52,19,University diploma,Female,"£50,000 to £59,999 per year",Prefer not to answer,Married,B,West Midlands,Labour,I voted to Remain,Level-3
Very likely,41,20,"Other technical, professional or higher qualification",Female,Don't know,Prefer not to answer,Never married,D,Yorkshire and the Humber,Other,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,16,"Other technical, professional or higher qualification",Male,"£40,000 to £44,999 per year","£30,000 to £34,999 per year",Married,C1,North West,Conservative,I voted to Leave,Other
Very likely,68,16,CSE grades 2-5,Female,Prefer not to answer,"£5,000 to £9,999 per year",Married,C2,North West,Labour,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,73,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£25,000 to £29,999 per year","£10,000 to £14,999 per year",Married,B,Yorkshire and the Humber,Labour,I voted to Remain,Level-1
Very likely,79,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£60,000 to £69,999 per year","£15,000 to £19,999 per year",Living as married,B,South West,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,"Other technical, professional or higher qualification",Male,Don't know,Prefer not to answer,Widowed,D,East of England,Conservative,I voted to Leave,Other
Very likely,43,17-18,"Other technical, professional or higher qualification",Female,"£60,000 to £69,999 per year","£35,000 to £39,999 per year",Married,C1,East of England,Conservative,I voted to Remain,Other
Very likely,68,15 or under,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Married,E,North West,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,79,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£60,000 to £69,999 per year","£50,000 to £59,999 per year",Married,B,South East,Liberal Democrat,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,63,19,GCE A level or Higher Certificate,Female,"£40,000 to £44,999 per year","£40,000 to £44,999 per year",Never married,D,South East,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,38,20,GCE A level or Higher Certificate,Male,Prefer not to answer,Prefer not to answer,Never married,C1,London,Conservative,I voted to Leave,Level-2
Very likely,47,19,GCE A level or Higher Certificate,Female,"£50,000 to £59,999 per year","£30,000 to £34,999 per year",Never married,C1,East of England,Labour,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Living as married,D,South West,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,65,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£10,000 to £14,999 per year","£10,000 to £14,999 per year",Widowed,A,Yorkshire and the Humber,Labour,I voted to Remain,Level-4
Very likely,70,17-18,GCE A level or Higher Certificate,Male,Prefer not to answer,Prefer not to answer,Married,B,East of England,Conservative,I voted to Leave,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,40,17-18,GCE A level or Higher Certificate,Female,"under £5,000 per year","£10,000 to £14,999 per year",Married,C2,Yorkshire and the Humber,Brexit Party,I voted to Leave,Level-2
Very likely,72,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Living as married,A,South West,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£50,000 to £59,999 per year","£15,000 to £19,999 per year",Married,A,East of England,Conservative,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Divorced,A,South East,Liberal Democrat,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,72,17-18,"Other technical, professional or higher qualification",Male,"£70,000 to £99,999 per year","£50,000 to £59,999 per year",Married,B,South East,Conservative,I voted to Remain,Other
Very likely,74,15 or under,GCE A level or Higher Certificate,Male,"£45,000 to £49,999 per year","£40,000 to £44,999 per year",Married,C2,North West,Conservative,I voted to Leave,Level-2
Don’t know,44,16,City & Guilds certificate,Female,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Never married,B,East Midlands,Labour,I voted to Remain,Professional
Very unlikely,47,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£35,000 to £39,999 per year","£15,000 to £19,999 per year",Married,C1,West Midlands,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Divorced,E,South East,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,17-18,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Widowed,C1,East of England,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,42,20,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Married,C2,North West,Labour,I voted to Remain,Other
Very likely,69,16,CSE grades 2-5,Male,"£20,000 to £24,999 per year","£25,000 to £29,999 per year",Living as married,D,South West,Liberal Democrat,I voted to Remain,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,48,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,Prefer not to answer,Prefer not to answer,Divorced,E,South East,Green,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,76,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£35,000 to £39,999 per year","£25,000 to £29,999 per year",Married,C1,North West,Liberal Democrat,I voted to Remain,Level-3
Very likely,42,16,Teaching qualification (not degree),Female,"£30,000 to £34,999 per year","£10,000 to £14,999 per year",Married,C2,West Midlands,Labour,I voted to Remain,Level-3
