"lon","lat","medv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","lstat"
-70.8875,42.1465,32.7,0.01301,35,1.52,"0",0.442,7.241,49.3,7.0379,1,284,15.5,5.49
-71.043,42.3075,23.9,0.05059,0,4.49,"0",0.449,6.389,48,4.7794,3,247,18.5,9.62
-71.034,42.226,13.9,15.288,0,18.1,"0",0.671,6.649,93.3,1.3449,24,666,20.2,23.24
-71.03,42.272,22.6,0.04684,0,3.41,"0",0.489,6.417,66.1,3.0923,2,270,17.8,8.81
-71.214,42.218,42.3,0.02177,82.5,2.03,"0",0.415,7.61,15.7,6.27,2,348,14.7,3.11
-71.0312,42.2505,20.3,0.07165,0,25.65,"0",0.581,6.004,84.1,2.1974,2,188,19.1,14.27
-70.9775,42.3237,24.7,0.15936,0,6.91,"0",0.448,6.211,6.5,5.7209,3,233,17.9,7.44
-71.0355,42.2545,18.3,0.17134,0,10.01,"0",0.547,5.928,88.2,2.4631,6,432,17.8,15.76
-71.0725,42.1965,30.7,0.7857,20,3.97,"0",0.647,7.014,84.6,2.1329,5,264,13,14.79
-71.0168,42.2281,11.5,8.15174,0,18.1,"0",0.7,5.39,98.9,1.7281,24,666,20.2,20.85
-70.956,42.3125,16.6,0.22927,0,6.91,"0",0.448,6.03,85.5,5.6894,3,233,17.9,18.8
-71.08,42.268,33.2,0.0686,0,2.89,"0",0.445,7.416,62.5,3.4952,2,276,18,6.19
-71.015,42.167,19.4,0.26169,0,9.9,"0",0.544,6.023,90.4,2.834,4,304,18.4,11.72
-71.079,42.245,18.4,0.32982,0,21.89,"0",0.624,5.822,95.4,2.4699,4,437,21.2,15.03
-71.066,42.178,19.1,4.42228,0,18.1,"0",0.584,6.003,94.5,2.5403,24,666,20.2,21.32
-71.1285,42.193,31.7,0.46296,0,6.2,"0",0.504,7.412,76.9,3.6715,8,307,17.4,5.25
-71.0201,42.16,20.3,0.3494,0,9.9,"0",0.544,5.972,76.7,3.1025,4,304,18.4,9.97
-71.093,42.207,22.6,4.26131,0,18.1,"0",0.77,6.112,81.3,2.5091,24,666,20.2,12.67
-70.935,42.316,15,0.22489,12.5,7.87,"0",0.524,6.377,94.3,6.3467,5,311,15.2,20.45
-71.0558,42.1913,14.6,10.233,0,18.1,"0",0.614,6.185,96.7,2.1705,24,666,20.2,18.03
-71.055,42.1685,19,3.77498,0,18.1,"0",0.655,5.952,84.7,2.8715,24,666,20.2,17.15
-71.1335,42.225,22.4,0.21719,0,10.59,"1",0.489,5.807,53.8,3.6526,4,277,18.6,16.03
-71.095,42.173,23.7,5.70818,0,18.1,"0",0.532,6.75,74.9,3.3317,24,666,20.2,7.74
-71.0685,42.308,28,0.04113,25,4.86,"0",0.426,6.727,33.5,5.4007,4,281,19,5.29
-71.269,42.1482,20.9,0.03548,80,3.64,"0",0.392,5.876,19.1,9.2203,1,315,16.4,9.25
-71.071,42.203,36.5,0.55007,20,3.97,"0",0.647,7.206,91.6,1.9301,5,264,13,8.1
-70.978,42.3425,23.4,0.04981,21,5.64,"0",0.439,5.998,21.4,6.8147,4,243,16.8,8.43
-71.054,42.219,13.8,2.37934,0,19.58,"0",0.871,6.13,100,1.4191,5,403,14.7,27.8
-71.0396,42.2512,18.5,0.14231,0,10.01,"0",0.547,6.254,84.2,2.2565,6,432,17.8,10.45
-70.967,42.279,12.7,1.13081,0,8.14,"0",0.538,5.713,94.1,4.233,4,307,21,22.6
-71.138,42.2141,24,0.33045,0,6.2,"0",0.507,6.086,61.5,3.6519,8,307,17.4,10.88
-71.01,42.1215,22.2,0.24103,0,7.38,"0",0.493,6.083,43.7,5.4159,5,287,19.6,12.79
-71.127,42.235,23.7,0.28955,0,10.59,"0",0.489,5.412,9.8,3.5875,4,277,18.6,29.55
-70.9165,42.304,28.7,0.02985,0,2.18,"0",0.458,6.43,58.7,6.0622,3,222,18.7,5.21
-71.1008,42.174,23,5.82401,0,18.1,"0",0.532,6.242,64.7,3.4242,24,666,20.2,10.74
-71.062,42.2275,13.3,0.2498,0,21.89,"0",0.624,5.857,98.2,1.6686,4,437,21.2,21.32
-71.0475,42.1842,11.7,13.9134,0,18.1,"0",0.713,6.208,95,2.2222,24,666,20.2,15.17
-71.2475,42.1825,26.2,0.19073,22,5.86,"0",0.431,6.718,17.5,7.8265,7,330,19.1,6.56
-71.166,42.187,45.4,0.03578,20,3.33,"0",0.4429,7.82,64.5,4.6947,5,216,14.9,3.76
-71.0679,42.2073,50,0.61154,20,3.97,"0",0.647,8.704,86.9,1.801,5,264,13,5.12
-71.118,42.1217,21.7,0.08199,0,13.92,"0",0.437,6.009,42.3,5.5027,4,289,16,10.4
-71.0425,42.189,11.8,10.6718,0,18.1,"0",0.74,6.459,94.8,1.9879,24,666,20.2,23.98
-71.148,42.0775,23.2,0.03871,52.5,5.32,"0",0.405,6.209,31.3,7.3172,6,293,16.6,7.14
-71.134,42.204,48.3,0.33147,0,6.2,"0",0.507,8.247,70.4,3.6519,8,307,17.4,3.95
-71.1309,42.1166,28.6,0.12932,0,13.92,"0",0.437,6.678,31.1,5.9604,4,289,16,6.27
-71,42.153,23.8,0.3692,0,9.9,"0",0.544,6.567,87.3,3.6023,4,304,18.4,9.28
-71.09,42.1665,25,5.73116,0,18.1,"0",0.532,7.061,77,3.4106,24,666,20.2,7.01
-71.0525,42.1989,8.8,73.5341,0,18.1,"0",0.679,5.957,100,1.8026,24,666,20.2,20.62
-71.045,42.164,21.4,7.83932,0,18.1,"0",0.655,6.209,65.4,2.9634,24,666,20.2,13.22
-71.199,42.2058,50,0.02009,95,2.68,"0",0.4161,8.034,31.9,5.118,4,224,14.7,2.88
-71.22,42.1782,22.2,0.1029,30,4.93,"0",0.428,6.358,52.9,7.0355,6,300,16.6,11.22
-71.0638,42.2368,14.3,0.88125,0,21.89,"0",0.624,5.637,94.7,1.9799,4,437,21.2,18.34
-71.24,42.2725,30.3,0.04666,80,1.52,"0",0.404,7.107,36.6,7.309,2,329,12.6,8.61
-71.023,42.209,5,38.3518,0,18.1,"0",0.693,5.453,100,1.4896,24,666,20.2,30.59
-71.0175,42.3715,18.9,0.0136,75,4,"0",0.41,5.888,47.6,7.3197,3,469,21.1,14.8
-71.0966,42.2282,36.2,0.06888,0,2.46,"0",0.488,6.144,62.2,2.5979,3,193,17.8,9.45
-71.03,42.324,34.9,0.03359,75,2.95,"0",0.428,7.024,15.8,5.4011,3,252,18.3,1.98
-70.93,42.337,18.7,0.14932,25,5.13,"0",0.453,5.741,66.2,7.2254,8,284,19.7,13.15
-70.9275,42.0795,23.1,0.0187,85,4.15,"0",0.429,6.516,27.7,8.5353,4,351,17.9,6.36
-70.94,42.332,19.6,0.10328,25,5.13,"0",0.453,5.927,47.2,6.932,8,284,19.7,9.22
-70.86,42.345,33,0.01951,17.5,1.38,"0",0.4161,7.104,59.5,9.2229,3,216,18.6,8.05
-71.0378,42.1892,15.4,9.96654,0,18.1,"0",0.74,6.485,100,1.9784,24,666,20.2,18.85
-71.0677,42.2335,17.4,0.32264,0,21.89,"0",0.624,5.942,93.5,1.9669,4,437,21.2,16.9
-70.9895,42.1265,25,0.34109,0,7.38,"0",0.493,6.415,40.1,4.7211,5,287,19.6,6.12
-71.0933,42.222,21.5,0.11069,0,13.89,"1",0.55,5.951,93.8,2.8893,5,276,16.4,17.92
-71.0865,42.21,19.9,3.83684,0,18.1,"0",0.77,6.251,91.1,2.2955,24,666,20.2,14.19
-71.045,42.345,23.5,0.03584,80,3.37,"0",0.398,6.29,17.8,6.6115,4,337,16.1,4.67
-71.0668,42.2545,27.5,0.14866,0,8.56,"0",0.52,6.727,79.9,2.7778,5,384,20.9,9.42
-71.195,42.0675,20.1,0.01965,80,1.76,"0",0.385,6.23,31.5,9.0892,1,241,18.2,12.93
-71.2435,42.163,17.6,0.20608,22,5.86,"0",0.431,5.593,76.5,7.9549,7,330,19.1,12.5
-71.1475,42.2445,22.6,0.13642,0,10.59,"0",0.489,5.891,22.3,3.9454,4,277,18.6,10.87
-71.042,42.2796,23.6,0.0566,0,3.41,"0",0.489,7.007,86.3,3.4217,2,270,17.8,5.5
-71.035,42.1745,17.7,3.69311,0,18.1,"0",0.713,6.376,88.4,2.5671,24,666,20.2,14.65
-71.046,42.181,13.4,6.71772,0,18.1,"0",0.713,6.749,92.6,2.3236,24,666,20.2,17.44
-71.0547,42.189,14.5,8.49213,0,18.1,"0",0.584,6.348,86.1,2.0527,24,666,20.2,17.64
-71.04,42.2275,10.2,17.8667,0,18.1,"0",0.671,6.223,100,1.3861,24,666,20.2,21.78
-71.0462,42.2075,15,51.1358,0,18.1,"0",0.597,5.757,100,1.413,24,666,20.2,10.11
