title,year,binary,budget_2013,domgross_2013,gross_millions,log_gross
Now You See Me,2013,FAIL,75000000,117723989,117.723989,4.768342808282167
Oblivion,2013,FAIL,120000000,89107235,89.107235,4.489840532078016
Olympus Has Fallen,2013,FAIL,70000000,98927592,98.927592,4.59438818859616
Oz the Great and Powerful,2013,PASS,200000000,234770996,234.770996,5.458610553918475
Pacific Rim,2013,FAIL,190000000,101802906,101.802906,4.623038649877947
Pain & Gain,2013,FAIL,26000000,49875291,49.875291,3.9095257097794724
Parker,2013,PASS,35000000,17616641,17.616641,2.8688439666934333
Peeples,2013,FAIL,15000000,9177065,9.177065,2.2167074367364954
Percy Jackson: Sea of Monsters,2013,PASS,90000000,68559554,68.559554,4.22770276901749
Prisoners,2013,PASS,46000000,61002302,61.002302,4.11091160116618
R.I.P.D.,2013,FAIL,130000000,33618855,33.618855,3.5150870702916492
Red 2,2013,PASS,84000000,53262560,53.26256,3.9752336453215236
Riddick,2013,FAIL,38000000,42025135,42.025135,3.738267891663107
Runner Runner,2013,FAIL,30000000,19316646,19.316646,2.9609672112292444
Rush,2013,FAIL,38000000,26947624,26.947624,3.293895130203091
Safe Haven,2013,PASS,28000000,71399120,71.39912,4.268285544339614
Saving Mr. Banks,2013,PASS,35000000,82834332,82.834332,4.416842613133925
Side Effects,2013,PASS,30000000,32172757,32.172757,3.471120038542448
Star Trek Into Darkness,2013,FAIL,190000000,228778661,228.778661,5.432754990296066
Texas Chainsaw 3D,2013,PASS,20000000,34341945,34.341945,3.5363674933528526
The Big Wedding,2013,PASS,32500000,21819348,21.819348,3.0827970991152203
The Book Thief,2013,PASS,19000000,21345525,21.345525,3.0608421158315546
The Call,2013,PASS,13000000,51872378,51.872378,3.9487864326951287
The Conjuring,2013,PASS,20000000,137400141,137.400141,4.9228974059885955
The Counselor,2013,PASS,25000000,16973715,16.973715,2.8316659710212297
The Croods,2013,FAIL,135000000,187168425,187.168425,5.232008879945334
The Family,2013,FAIL,30000000,36918811,36.918811,3.6087212043490027
The Fifth Estate,2013,FAIL,26000000,3254172,3.254172,1.1799378654208075
The Great Gatsby,2013,FAIL,190000000,144840419,144.840419,4.9756325777405355
The Hangover part 3,2013,FAIL,103000000,112200072,112.200072,4.72028363479962
The Heat,2013,PASS,43000000,159581587,159.581587,5.0725553086859305
The Hobbit: The Desolation of Smaug,2013,FAIL,250000000,257397516,257.397516,5.550621644765811
The Host,2013,FAIL,50000000,26623701,26.623701,3.281801834106986
The Hunger Games: Catching Fire,2013,PASS,130000000,424088260,424.08826,6.049941593946951
The Incredible Burt Wonderstone,2013,FAIL,32000000,22537881,22.537881,3.1151974935446147
The Internship,2013,FAIL,58000000,44672764,44.672764,3.7993640094291923
The Last Exorcism Part II,2013,PASS,4000000,15179303,15.179303,2.7199328552348025
The Lone Ranger,2013,FAIL,275000000,89289910,89.28991,4.491888491576999
The Mortal Instruments: City of Bones,2013,PASS,60000000,31165421,31.165421,3.4393091789133545
The Purge,2013,FAIL,3000000,64473115,64.473115,4.166248315201987
The Smurfs 2,2013,PASS,110000000,71017784,71.017784,4.262930324549959
The To Do List,2013,PASS,1500000,3491669,3.491669,1.250379845397625
The Way Way Back,2013,PASS,5000000,21502690,21.50269,3.068178043586298
The Wolf of Wall Street,2013,FAIL,100000000,115702857,115.702857,4.751025327066756
The Wolverine,2013,PASS,115000000,132556852,132.556852,4.8870116250994515
The World's End,2013,FAIL,20000000,26004851,26.004851,3.2582830975412493
This Is the End,2013,FAIL,32000000,101470202,101.470202,4.619765179025189
Thor: The Dark World,2013,FAIL,170000000,204674790,204.67479,5.32142232924513
Trance,2013,FAIL,16000000,2322593,2.322593,0.8426842339612053
Turbo,2013,FAIL,135000000,83028130,83.02813,4.419179466040308
Warm Bodies,2013,FAIL,30000000,66380662,66.380662,4.195405779125498
We're the Millers,2013,PASS,37000000,150394119,150.394119,5.013259308357604
White House Down,2013,FAIL,150000000,73103784,73.103784,4.291880130121869
World War Z,2013,FAIL,190000000,202359711,202.359711,5.31004686127486
Abraham Lincoln: Vampire Hunter,2012,FAIL,68488103,38068365,38.068365,3.639383622269627
Act of Valor,2012,FAIL,12175663,71037735,71.037735,4.26321121472968
Amour,2012,FAIL,9841994,6837603,6.837603,1.9224372316200136
Anna Karenina,2012,FAIL,49717290,13003980,13.00398,2.565255464452165
Argo,2012,PASS,45151416,138016721,138.016721,4.927374844483784
Battleship,2012,FAIL,212059460,66190353,66.190353,4.192534727248503
Beasts of the Southern Wild,2012,FAIL,1826349,12983057,12.983057,2.563645199725099
Blue Like Jazz,2012,PASS,1217566,603728,0.603728,-0.5046315136026637
Brave,2012,PASS,187708135,240755653,240.755653,5.483782531191766
Bullet to the Head,2012,FAIL,55805121,9628746,9.628746,2.2647529992623894
Chernobyl Diaries,2012,FAIL,1014639,18384886,18.384886,2.911528914026913
Chronicle,2012,FAIL,12175663,65520463,65.520463,4.182362506064413
Cloud Atlas,2012,PASS,103493134,27505098,27.505098,3.3143713693096215
Contraband,2012,PASS,25365964,67501874,67.501874,4.212155360456063
Django Unchained,2012,FAIL,101463857,165188672,165.188672,5.107088287307178
Flight,2012,FAIL,31453796,95145068,95.145068,4.555402758452333
Frankenweenie,2012,FAIL,39570904,35804351,35.804351,3.5780694223345644
Hannibal,2012,PASS,88273555,167508980,167.50898,5.121036961768351
Hotel Transylvania,2012,PASS,86244278,150484138,150.484138,5.013857683285613
Jack Reacher,2012,FAIL,60878314,81242857,81.242857,4.397442903499044
Jagten,2012,FAIL,3500503,697244,0.697244,-0.3606198577464152
John Carter,2012,PASS,279025606,74128153,74.128153,4.305795392669572
Killing Them Softly,2012,FAIL,15219578,15164322,15.164322,2.7189454319314095
Les Miserables,2012,PASS,65951507,150988132,150.988132,5.017201237699605
Life of Pi,2012,FAIL,121756628,126816653,126.816653,4.842742366187299
Lincoln,2012,PASS,65951507,184875236,184.875236,5.219681197568351
Madagascar 3: Europe's Most Wanted,2012,FAIL,147122592,219559143,219.559143,5.391621640413003
Men in Black III,2012,FAIL,218147292,181641463,181.641463,5.202034760590619
Mirror Mirror,2012,FAIL,86244278,65885725,65.885725,4.187921801958831
Moonrise Kingdom,2012,PASS,16234217,46178703,46.178703,3.8325187177805295
Much Ado About Nothing,2012,FAIL,8117109,22879428,22.879428,3.130238166199092
One for the Money,2012,PASS,42614820,26801198,26.801198,3.2884465880102662
Paranormal Activity 4,2012,PASS,5073193,54689359,54.689359,4.0016691566829365
ParaNorman,2012,FAIL,60878314,56822855,56.822855,4.03993862155585
Parental Guidance,2012,PASS,25365964,78398378,78.398378,4.361803238366837
People Like Us,2012,PASS,16234217,12613776,12.613776,2.5347895500371687
Pitch Perfect,2012,PASS,17248856,65952616,65.952616,4.188936544790582
Premium Rush,2012,PASS,35512350,20572249,20.572249,3.023943031669868
Red Dawn,2012,FAIL,65951507,45462690,45.46269,3.8168919895730022
Red Tails,2012,FAIL,58849037,50606496,50.606496,3.9240799475001245
Rise of the Guardians,2012,FAIL,147122592,104926572,104.926572,4.653260791237517
Rock of Ages,2012,PASS,71024700,39082470,39.08247,3.6656740288620626
Safe,2012,FAIL,33483073,17393015,17.393015,2.8560686888415585
Safety Not Guaranteed,2012,PASS,760979,4069672,4.069672,1.4035624065263912
Seven Psychopaths,2012,FAIL,13697621,15243980,15.24398,2.7241846710191497
Silent Hill: Revelation 3D,2012,PASS,20292771,17786836,17.786836,2.8784586331338216
Silver Linings Playbook,2012,PASS,21307410,134026609,134.026609,4.898038354864446
Sinister,2012,FAIL,3043916,48790826,48.790826,3.887542303383149
Skyfall,2012,FAIL,202927713,308815675,308.815675,5.732744577872687
Snow White and the Huntsman,2012,PASS,172488556,157407735,157.407735,5.058839477088439
Sparkle,2012,PASS,10146386,24754613,24.754613,3.2090118554857736
Spring Breakers,2012,PASS,5073193,14331045,14.331045,2.6624281631170583
Step Up Revolution,2012,PASS,33483073,35588120,35.58812,3.5720118742999563
Supporting Characters,2012,FAIL,60878,4989,0.004989,-5.300519790103237
Ted,2012,FAIL,50731928,221866693,221.866693,5.402076719528786
That's My Boy,2012,FAIL,68488103,37471707,37.471707,3.6235861682130888
The Amazing Spider-Man,2012,FAIL,223220484,265866416,265.866416,5.582993987150589
The Avengers,2012,FAIL,60878314,23727745,23.727745,3.166645038540796
The Dark Knight Rises,2012,FAIL,279025606,454699213,454.699213,6.119636130017943
The Devil Inside,2012,PASS,1014639,54041622,54.041622,3.989754527445412
The Dictator,2012,FAIL,65951507,60523416,60.523416,4.103030331477938
The Expendables 2,2012,PASS,101463857,86272883,86.272883,4.457515330867884
The Grey,2012,FAIL,25365964,52335195,52.335195,3.957669089295893
The Hobbit: An Unexpected Journey,2012,FAIL,253659641,307439106,307.439106,5.728277038367895
The Hunger Games,2012,PASS,81171085,413983383,413.983383,6.025825835338616
The Impossible,2012,FAIL,40585543,19298306,19.298306,2.960017320037925
The Man with the Iron Fists,2012,FAIL,15219578,15862951,15.862951,2.7639862644724205
The Master,2012,FAIL,38048946,16484994,16.484994,2.802450512556385
The Pirates! Band of Misfits,2012,FAIL,55805121,31505670,31.50567,3.4501675296335312
The Place Beyond the Pines,2012,FAIL,15219578,21716836,21.716836,3.078087812262982
The Twilight Saga: Breaking Dawn - Part 2,2012,FAIL,138193773,296603952,296.603952,5.6923977539576125
The Vow,2012,PASS,8866236,126844056,126.844056,4.842958426453113
The Watch,2012,FAIL,55805121,34855879,34.855879,3.551221817383823
The Woman in Black,2012,FAIL,15219578,55128651,55.128651,4.009669562866332
The Words,2012,FAIL,6087831,11663106,11.663106,2.456430526238306
Think Like a Man,2012,PASS,12175663,92887325,92.887325,4.531387199482351
To Rome With Love,2012,FAIL,21814729,16928587,16.928587,2.829003731350673
Total Recall,2012,FAIL,126829821,59739858,59.739858,4.0899994358182825
Underworld: Awakening,2012,PASS,71024700,63233330,63.23333,4.146831535558045
Wanderlust,2012,PASS,32975753,17541229,17.541229,2.8645540529044116
What to Expect When You're Expecting,2012,PASS,38048946,41754612,41.754612,3.7318099122616957
Won't Back Down,2012,PASS,19278133,5388293,5.388293,1.684228637173508
Wrath of the Titans,2012,FAIL,152195785,84894893,84.894893,4.44141393838671
Wreck-It Ralph,2012,PASS,167415363,192185407,192.185407,5.258460567535032
Zero Dark Thirty,2012,PASS,53268525,97121930,97.12193,4.5759671994366355
30 Minutes or Less,2011,FAIL,28999342,38376408,38.376408,3.6474428957880254
50/50,2011,FAIL,8285526,36265871,36.265871,3.5908771061748266
A Dangerous Method,2011,FAIL,20713816,5905595,5.905595,1.7759002066392153
A Very Harold & Kumar 3D Christmas,2011,FAIL,20713816,36312387,36.312387,3.5921589227312123
Another Earth,2011,PASS,181246,1368348,1.368348,0.3136041728146476
Apollo 18,2011,FAIL,5178454,18318189,18.318189,2.907894500647844
Arthur Christmas,2011,FAIL,88033717,48120751,48.120751,3.8737134978009857
Attack the Block,2011,PASS,13463980,1060729,1.060729,0.05895640759110605
Bad Teacher,2011,PASS,19678125,103872387,103.872387,4.643163097624557
Battle: Los Angeles,2011,FAIL,72498355,86534481,86.534481,4.460542958785741
Beastly,2011,FAIL,17606743,28860115,28.860115,3.3624605380917703
Blackthorn,2011,FAIL,4660609,207716,0.207716,-1.5715835168831316
Bridesmaids,2011,PASS,33659951,175142277,175.142277,5.165598655037315
Captain America: The First Avenger,2011,FAIL,144996710,182959443,182.959443,5.209264505328606
Cars 2,2011,FAIL,207138157,198283907,198.283907,5.289699877416584
Circumstance,2011,PASS,932122,470329,0.470329,-0.7543228291637595
Colombiana,2011,FAIL,41427631,37974487,37.974487,3.636914539503165
Conan the Barbarian,2011,FAIL,20713816,39629760,39.62976,3.679580351165838
Contagion,2011,PASS,62141447,78358394,78.358394,4.361293097715724
Coriolanus,2011,FAIL,10356908,776396,0.776396,-0.25309257968406706
Cowboys & Aliens,2011,FAIL,168817598,103818215,103.818215,4.642641437032245
Diary of a Wimpy Kid: Rodrick Rules,2011,FAIL,18642434,54579387,54.579387,3.9996562839968943
Dolphin Tale,2011,FAIL,38320559,74866751,74.866751,4.315709880082616
Dream House,2011,PASS,51784539,22062637,22.062637,3.0938855443059636
Drive,2011,FAIL,15535362,36312033,36.312033,3.592149173944234
Fast Five,2011,PASS,129461348,217326947,217.326947,5.381402887857472
Final Destination 5,2011,FAIL,41427631,44107629,44.107629,3.7866327606884815
Footloose,2011,PASS,24856579,53651623,53.651623,3.9825117202500775
Fright Night,2011,FAIL,31070724,18951742,18.951742,2.9418958534248603
Green Lantern,2011,FAIL,207138157,120762760,120.76276,4.793827959827544
Hall Pass,2011,FAIL,37284868,46668987,46.668987,3.843079854133697
Hanna,2011,PASS,31070724,41695999,41.695999,3.7304051769593185
Harry Potter and the Deathly Hallows: Part 2,2011,FAIL,129461348,394609809,394.609809,5.9778974513636935
Haywire,2011,FAIL,23820888,19618465,19.618465,2.976471214583209
Hesher,2011,FAIL,7249836,396614,0.396614,-0.9247917634690449
Higher Ground,2011,PASS,1864243,871074,0.871074,-0.13802834592221191
Hobo with a Shotgun,2011,FAIL,3107072,728476,0.728476,-0.3168005982958707
Hop,2011,FAIL,65248520,111942955,111.942955,4.717989411185186
Horrible Bosses,2011,PASS,36249178,121733603,121.733603,4.801835075274784
Hugo,2011,FAIL,186424342,76500789,76.500789,4.3373010545047945
I Am Number Four,2011,FAIL,51784539,57067015,57.067015,4.044226278992865
Immortals,2011,FAIL,77676809,86484341,86.484341,4.45996336864839
In Time,2011,FAIL,36249178,38894261,38.894261,3.660846707606789
Iris,2011,PASS,5696299,5779651,5.779651,1.7543433002384656
Jin ling shi san chai,2011,PASS,103569079,322549,0.322549,-1.1315002163032204
Johnny English Reborn,2011,FAIL,46606085,8602417,8.602417,2.1520432102849174
Jumping the Broom,2011,PASS,7249836,38626496,38.626496,3.6539384658594543
Just Go with It,2011,FAIL,82855263,106705263,106.705263,4.6700704823021315
Kill List,2011,FAIL,828553,30100,0.0301,-3.503230107227307
Killer Elite,2011,FAIL,72498355,26021717,26.021717,3.2589314586090343
Kung Fu Panda 2,2011,PASS,155353618,171146932,171.146932,5.14252243901944
Le Havre,2011,FAIL,5696299,633541,0.633541,-0.4564305615046037
Like Crazy,2011,PASS,258923,3516575,3.516575,1.2574875045635217
Limitless,2011,FAIL,27963651,82077930,82.07793,4.407669161806202
Margaret,2011,PASS,14499671,48869,0.048869,-3.018612030360834
Margin Call,2011,FAIL,3521349,5544660,5.54466,1.7128353024210443
Mars Needs Moms,2011,FAIL,155353618,22156282,22.156282,3.098121068019087
Martha Marcy May Marlene,2011,PASS,1035691,3087434,3.087434,1.127340325207396
Melancholia,2011,PASS,9735493,3139021,3.139021,1.14391096786611
Midnight in Paris,2011,PASS,31070724,58844493,58.844493,4.074898252437296
Mission: Impossible - Ghost Protocol,2011,FAIL,150175164,216871479,216.871479,5.37930491541083
Moneyball,2011,FAIL,51784539,78303911,78.303911,4.360597550663783
Mr. Popper's Penguins,2011,FAIL,56962993,70659436,70.659436,4.25787166001406
New Year's Eve,2011,PASS,26927960,56491379,56.491379,4.034088042439465
No Strings Attached,2011,PASS,25892270,73184210,73.18421,4.292979687315921
October Baby,2011,PASS,1035691,5547001,5.547001,1.7132574213507088
Our Idiot Brother,2011,PASS,5178454,25700491,25.700491,3.2465100967770404
Paranormal Activity 3,2011,PASS,5178454,107741677,107.741677,4.6797364823809255
Paul,2011,PASS,41427631,38748242,38.748242,3.6570853870282733
Pirates of the Caribbean: On Stranger Tides,2011,FAIL,258922697,249667634,249.667634,5.520130569340936
Priest,2011,FAIL,62141447,30176535,30.176535,3.4070646356151992
Puss in Boots,2011,FAIL,134639802,154587729,154.587729,5.040761760428767
Rango,2011,FAIL,139818256,127656741,127.656741,4.849344950753809
Real Steel,2011,FAIL,113925987,88513562,88.513562,4.483155783211237
Red Riding Hood,2011,PASS,43499013,39006354,39.006354,3.6637245559360463
Red State,2011,PASS,4142763,1103455,1.103455,0.09844616654468577
Restless,2011,PASS,8285526,169597,0.169597,-1.7743302444600262
Rio,2011,FAIL,93212171,148745713,148.745713,5.002238223842363
Rise of the Planet of the Apes,2011,FAIL,96319243,183068895,183.068895,5.209862557402171
Shame,2011,FAIL,6731990,4145138,4.145138,1.4219360811573007
Snow Flower and the Secret Fan,2011,PASS,6214145,1396324,1.396324,0.33384306910161526
Soul Surfer,2011,PASS,18642434,45418587,45.418587,3.8159214265501684
Source Code,2011,FAIL,33142105,56664949,56.664949,4.0371558361580355
Straw Dogs,2011,PASS,25892270,10692928,10.692928,2.369582588374875
Sucker Punch,2011,PASS,77676809,37691379,37.691379,3.6294313945640857
Super 8,2011,PASS,51784539,131537058,131.537058,4.879288621802804
Take Shelter,2011,PASS,4919531,1790661,1.790661,0.5825848254309123
The Adjustment Bureau,2011,FAIL,51991677,64726164,64.726164,4.170165509253415
The Adventures of Tintin,2011,FAIL,134639802,80361144,80.361144,4.386530775783681
The Artist,2011,FAIL,16571053,46261299,46.261299,3.834305736824091
The Best Exotic Marigold Hotel,2011,PASS,10356908,48039108,48.039108,3.872015429179281
The Cabin in the Woods,2011,FAIL,31070724,43574905,43.574905,3.77448141125454
The Darkest Hour,2011,PASS,36042039,22208829,22.208829,3.1004899125181784
The Divide,2011,PASS,3107072,18642,0.018642,-3.982338179343172
The Future,2011,PASS,1035691,588958,0.588958,-0.5294004051735461
The Girl with the Dragon Tattoo,2011,FAIL,93212171,106174662,106.174662,4.665085492770674
The Green Hornet,2011,FAIL,113925987,102305579,102.305579,4.627964207149939
The Guard,2011,FAIL,6214145,5551069,5.551069,1.713990521823528
The Help,2011,PASS,25892270,175762513,175.762513,5.169133725880377
The Iron Lady,2011,PASS,14499671,31028712,31.028712,3.434912969380945
The Lincoln Lawyer,2011,FAIL,41427631,60079594,60.079594,4.095670249776588
The Mechanic,2011,FAIL,44016858,30160867,30.160867,3.4065452894109276
The Muppets,2011,FAIL,46606085,91789051,91.789051,4.519493020360689
The Rite,2011,FAIL,38320559,34227129,34.227129,3.5330185752295735
The Roommate,2011,PASS,16571053,38631377,38.631377,3.6540648219139755
The Smurfs,2011,PASS,113925987,147704169,147.704169,4.99521141527304
The Three Musketeers,2011,FAIL,93212171,21105217,21.105217,3.049520261105318
The Tree of Life,2011,FAIL,36249178,13780555,13.780555,2.6232585405364395
The Twilight Saga: Breaking Dawn - Part 1,2011,PASS,132050575,291326492,291.326492,5.6744446038741705
Thor,2011,PASS,155353618,187491749,187.491749,5.233734839108869
Tinker Tailor Soldier Spy,2011,FAIL,21749507,25011304,25.011304,3.219327882674672
Tower Heist,2011,FAIL,88033717,80832113,80.832113,4.3923743246882525
Transformers: Dark of the Moon,2011,PASS,201959703,364967639,364.967639,5.899808689377965
War Horse,2011,FAIL,72498355,82734459,82.734459,4.41563618997277
Warrior,2011,FAIL,25892270,14144548,14.144548,2.6493292494886362
We Bought a Zoo,2011,FAIL,51784539,78323650,78.32365,4.360849600813559
Weekend,2011,FAIL,196781,501887,0.501887,-0.6893802842307194
What's Your Number,2011,PASS,20713816,14511151,14.511151,2.674917388353788
Winnie the Pooh,2011,FAIL,31070724,27645535,27.645535,3.3194642321076127
X-Men: First Class,2011,PASS,165710526,151633733,151.633733,5.0214679616484945
Young Adult,2011,PASS,12428289,16893744,16.893744,2.8269433758816254
Your Sister's Sister,2011,PASS,124283,1654502,1.654502,0.5035000572032173
127 Hours,2010,FAIL,19228173,19586277,19.586277,2.974829167953624
Alice in Wonderland,2010,PASS,213646368,356993585,356.993585,5.877717812430516
Animal Kingdom,2010,FAIL,4486574,1115276,1.115276,0.10910190791297422
Another Year,2010,PASS,8545855,3424437,3.424437,1.230937078640344
Barney's Version,2010,PASS,32046955,8014473,8.014473,2.0812490321842443
Beginners,2010,FAIL,3418342,6186017,6.186017,1.8222914224000653
Biutiful,2010,FAIL,37388114,5449304,5.449304,1.695487894097975
Black Swan,2010,PASS,13887014,114252393,114.252393,4.738409974850369
Blue Valentine,2010,FAIL,1068232,10402326,10.402326,2.342029434986688
Burlesque,2010,PASS,58752751,42131764,42.131764,3.7408019455155235
Casino Jack,2010,FAIL,13352898,2179053,2.179053,0.7788903787506649
Centurion,2010,FAIL,16023478,132001,0.132001,-2.0249457806668865
Charlie St. Cloud,2010,FAIL,47002201,33335524,33.335524,3.506623615160517
Clash of the Titans,2010,FAIL,133528980,174351340,174.35134,5.16107245878183
Conviction,2010,PASS,13352898,7261515,7.261515,1.9825884847524955
Cop Out,2010,FAIL,39524578,47937418,47.937418,3.869896368565386
Country Strong,2010,PASS,16023478,21598495,21.598495,3.072623636336713
Cyrus,2010,FAIL,7477623,7978555,7.978555,2.076757317370937
Date Night,2010,PASS,58752751,105446665,105.446665,4.658205280061455
Dear John,2010,FAIL,26705796,85474402,85.474402,4.4482169393031725
Despicable Me,2010,PASS,73707997,268675247,268.675247,5.593503390053118
Devil,2010,PASS,10682318,35977680,35.97768,3.5828987461766304
Diary of a Wimpy Kid,2010,PASS,16023478,68370710,68.37071,4.224944516543422
Dinner for Schmucks,2010,FAIL,73707997,78009058,78.009058,4.3568249481523615
Don't Be Afraid of the Dark,2010,PASS,26705796,25687431,25.687431,3.246001806121459
Due Date,2010,FAIL,69435070,107399007,107.399007,4.6765509362219655
Dylan Dog: Dead of Night,2010,FAIL,21364637,1267498,1.267498,0.23704487857268608
Easy A,2010,PASS,8545855,62386303,62.386303,4.133345748075899
"Eat, Pray, Love",2010,PASS,64093910,86071723,86.071723,4.455180937050534
Edge of Darkness,2010,FAIL,64093910,46269276,46.269276,3.8344781555088288
Everything Must Go,2010,FAIL,5341159,2897185,2.897185,1.0637395759129566
Fair Game,2010,PASS,53411592,12281992,12.281992,2.508134124547282
Faster,2010,FAIL,12818782,24825729,24.825729,3.211880575058989
For Colored Girls,2010,PASS,22432869,40304065,40.304065,3.696452332352106
Frozen,2010,FAIL,160234776,419868647,419.868647,6.039941917124328
Get Him To The Greek,2010,FAIL,42729274,65326144,65.326144,4.179392323691146
Going the Distance,2010,PASS,34183419,19019119,19.019119,2.9454447363809435
Green Zone,2010,FAIL,106823184,37919386,37.919386,3.6354624852726074
Grown Ups,2010,PASS,80117388,173054825,173.054825,5.15360845180765
Gunless,2010,FAIL,10575495,489308,0.489308,-0.7147631309331226
Harry Potter and the Deathly Hallows: Part 1,2010,PASS,133528980,316178791,316.178791,5.756307847889461
Hot Tub Time Machine,2010,FAIL,38456346,53699864,53.699864,3.9834104689231578
How to Train Your Dragon,2010,PASS,176258254,232427199,232.427199,5.448577053413655
I Am Love,2010,PASS,10682318,5346997,5.346997,1.6765350949041593
Inception,2010,FAIL,170917095,312539208,312.539208,5.744729926906306
Insidious,2010,PASS,1602348,57694294,57.694294,4.055158277809477
Iron Man 2,2010,PASS,181599413,333751233,333.751233,5.810395904089658
It's Kind of a Funny Story,2010,FAIL,8545855,6797830,6.79783,1.9166034436061308
Kick-Ass,2010,FAIL,29910492,51351297,51.351297,3.9386901940886947
Knight and Day,2010,FAIL,124983125,81637519,81.637519,4.40228894796493
Legion,2010,PASS,27774028,42908822,42.908822,3.759077445818395
Let Me In,2010,FAIL,21364637,12962924,12.962924,2.5620932827603276
Letters to Juliet,2010,FAIL,32046955,56650955,56.650955,4.036908845231305
Love and Other Drugs,2010,FAIL,32046955,34575465,34.575465,3.5431443264842457
Machete,2010,PASS,13352898,28408179,28.408179,3.346677096662895
Made In Dagenham,2010,PASS,8545855,1170108,1.170108,0.1570960522418795
Meek's Cutoff,2010,FAIL,2136464,1044487,1.044487,0.04352585579054788
Megamind,2010,FAIL,138870139,158542540,158.54254,5.066022948474061
Monsters,2010,FAIL,534116,253492,0.253492,-1.3724230146342735
Morning Glory,2010,PASS,42729274,33127720,33.12772,3.5003703941428284
Nanny McPhee and the Big Bang,2010,PASS,37388114,31189851,31.189851,3.4400927534361307
Never Let Me Go,2010,PASS,16023478,2600773,2.600773,0.9558087085325699
Paranormal Activity 2,2010,PASS,3204696,90535754,90.535754,4.505744844508761
Percy Jackson & the Olympians: The Lightning Thief,2010,FAIL,101482025,94825128,94.825128,4.552034437429048
Please Give,2010,PASS,3204696,4308792,4.308792,1.460657586408045
Predators,2010,FAIL,42729274,55548791,55.548791,4.017261751672378
Prince of Persia: The Sands of Time,2010,FAIL,213646368,96952376,96.952376,4.574219888866439
Rabbit Hole,2010,PASS,5341159,2381151,2.381151,0.8675839842254683
Ramona and Beezus,2010,PASS,16023478,27952425,27.952425,3.330503957912631
